Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,8.51,10.54,0.0,1.5,4.88,23.21,7.04,8.16,12.34,1.7
Feb,4.14,5.26,0.0,5.24,5.4,15.7,1.43,5.55,1.68,23.5
Mar,0.08,1.24,0.0,13.4,0.3,0.0,8.4,2.85,0.0,0.0
Apr,1.06,1.49,11.16,0.1,14.92,0.0,5.16,20.74,8.48,19.2
May,1.01,4.94,14.09,15.9,8.48,0.0,8.45,8.99,18.25,26.1
Jun,24.19,34.24,43.28,42.41,53.94,16.46,47.8,53.84,25.44,6.7
Jul,194.9,190.02,91.09,169.36,151.58,113.97,177.55,172.26,127.22,429.9
Aug,161.21,190.53,87.44,376.02,166.29,135.86,212.27,179.85,145.44,197.2
Sep,197.69,168.52,45.88,13.91,87.61,78.7,0.0,117.35,74.25,131.4
Oct,3.08,16.89,17.82,26.19,20.53,8.39,25.71,21.32,16.67,0.0
Nov,0.11,5.97,0.0,17.92,14.34,23.73,19.49,16.95,12.12,0.0
Dec,0.15,6.62,0.0,2.38,7.36,10.64,17.61,20.12,5.93,1.3
