Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,4.63,9.06,0.0,8.3,9.1,8.85,1.91,2.54,0.0,2.05,2.61,0.0,0.7
Feb,8.92,12.84,0.0,11.31,10.38,0.0,5.7,7.38,0.96,11.07,9.1,1.39,2.7
Mar,7.25,11.53,5.04,8.54,10.56,11.21,0.0,0.0,13.48,0.41,0.0,3.35,2.2
Apr,4.49,10.14,0.0,3.78,9.21,17.75,0.0,8.45,10.32,0.0,6.69,4.68,5.3
May,5.0,10.84,0.0,5.83,12.17,0.0,2.31,13.09,0.76,3.57,28.46,7.7,1.5
Jun,21.42,27.96,2.9,21.61,27.67,13.78,0.0,17.4,11.98,0.0,11.33,18.77,31.0
Jul,76.06,78.09,8.66,73.42,77.09,9.4,91.19,57.26,20.48,89.18,37.44,40.15,40.9
Aug,85.95,82.32,45.86,90.58,63.63,46.65,35.34,17.39,27.34,36.07,20.35,33.55,6.3
Sep,34.11,40.68,5.93,16.63,44.86,10.76,18.2,24.56,15.19,18.2,13.41,21.08,19.6
Oct,0.87,5.19,0.0,0.46,1.36,10.97,0.37,0.0,0.1,0.36,0.0,18.59,0.0
Nov,0.65,3.16,0.0,0.22,3.17,0.0,1.2,14.7,8.33,1.05,0.0,9.35,0.0
Dec,8.49,6.59,3.77,3.54,5.83,0.0,22.15,5.08,0.0,7.77,4.52,0.0,1.3
