Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,1.91,5.39,0.58,1.94,5.33,10.39,24.76,14.36,0.0,24.8,13.53,7.47,0.0
Feb,3.43,9.08,0.0,5.1,11.62,4.63,6.92,13.25,15.56,7.18,10.99,11.35,28.4
Mar,2.73,11.99,6.38,1.62,13.13,13.58,4.77,17.29,19.17,4.18,15.35,8.96,5.2
Apr,27.96,21.27,0.14,11.18,9.13,17.86,6.59,0.0,6.92,6.51,2.89,10.54,1.3
May,15.97,19.98,1.94,5.67,6.88,16.97,7.4,4.8,0.0,7.53,6.36,13.84,0.6
Jun,148.34,171.63,109.93,151.28,202.07,116.58,145.58,233.77,156.8,146.85,232.32,161.8,242.7
Jul,357.23,336.21,0.0,344.09,410.47,0.0,549.29,487.42,0.0,552.03,490.48,0.0,474.9
Aug,294.27,280.47,235.56,270.81,317.39,236.87,379.07,331.66,0.0,356.4,310.81,0.0,471.8
Sep,168.34,203.29,128.78,180.01,258.85,134.54,441.33,392.9,48.19,417.49,444.21,45.72,105.3
Oct,81.26,71.21,38.63,80.49,72.11,51.28,125.45,89.85,67.99,111.78,86.15,67.61,0.0
Nov,8.7,14.7,0.0,7.45,13.28,3.78,0.0,0.0,0.0,0.0,0.0,1.34,0.0
Dec,0.1,3.67,0.0,0.12,3.45,0.0,0.49,2.07,3.26,1.16,5.09,0.0,25.5
