Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,0.1,1.29,0.0,0.0,0.0,8.19,0.0,0.0,0.0,0.0
Feb,0.02,0.59,0.0,0.07,0.0,12.68,0.15,0.0,0.0,0.0
Mar,0.11,0.0,16.53,0.39,0.0,11.7,0.37,0.0,7.41,0.0
Apr,2.36,1.61,0.0,17.24,5.65,13.05,10.12,5.65,0.0,0.0
May,2.9,0.0,7.27,0.72,0.05,0.0,1.21,0.12,6.0,0.0
Jun,5.85,13.2,43.36,0.2,40.15,17.36,5.1,37.62,36.81,12.4
Jul,391.36,396.54,101.11,264.82,339.85,317.16,338.99,439.56,333.4,114.5
Aug,223.78,239.58,53.11,101.29,141.93,157.26,184.24,105.94,159.56,157.3
Sep,206.94,188.87,41.37,68.92,83.18,104.4,70.3,99.23,115.54,42.4
Oct,0.14,8.16,6.14,0.1,0.0,20.89,0.62,0.0,14.61,0.0
Nov,0.03,8.4,0.0,0.1,0.0,0.0,0.17,0.0,0.0,0.0
Dec,0.09,0.19,0.0,4.55,0.9,0.0,2.81,1.24,6.98,0.0
