Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,2.17,10.45,0.72,0.2,11.53,6.71,0.0,28.99,11.16,0.0,20.92,18.01,0.0
Feb,14.33,18.07,0.42,7.59,12.75,0.52,1.43,0.29,8.96,1.3,2.99,0.0,0.0
Mar,4.39,14.95,0.0,0.0,20.59,15.62,3.82,0.0,0.0,0.99,18.23,21.32,0.7
Apr,12.36,30.01,0.0,26.46,37.5,20.1,47.92,40.95,29.32,47.08,101.81,32.98,73.2
May,28.45,45.18,12.35,27.17,56.51,24.92,6.49,68.39,58.66,6.38,8.12,55.87,75.0
Jun,133.74,152.27,192.45,145.96,167.6,189.26,0.0,192.91,184.86,0.0,191.9,164.84,113.2
Jul,213.74,206.54,246.47,211.26,227.54,245.15,322.01,245.91,210.89,321.74,354.33,212.33,367.5
Aug,190.97,215.62,227.21,193.76,199.7,228.03,186.37,161.93,200.79,177.55,249.9,200.3,277.8
Sep,210.4,202.05,162.88,198.9,209.69,164.23,169.35,239.71,184.06,193.71,223.95,193.48,200.1
Oct,133.14,167.39,135.71,143.19,176.59,137.81,156.95,210.9,214.99,157.91,282.16,118.1,218.2
Nov,56.07,48.76,27.17,56.0,48.79,29.38,155.64,73.53,56.74,153.1,62.09,60.41,0.3
Dec,0.43,3.51,0.0,0.6,3.51,6.05,0.0,0.21,23.1,2.09,42.47,24.4,54.0
