Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,22.04,25.29,19.99,88.79,12.71,25.36,68.81,0.0,20.8,62.45,0.0,31.97,26.5
Feb,7.89,26.35,42.67,8.92,101.56,31.18,15.78,52.22,47.32,15.96,184.89,50.73,20.2
Mar,25.14,18.67,4.5,0.0,0.0,8.49,0.0,9.26,9.13,0.0,0.0,24.42,81.1
Apr,9.56,13.96,0.0,9.9,13.5,0.0,19.71,31.85,1.49,19.0,17.26,16.72,29.5
May,24.21,28.5,6.81,57.64,0.0,4.27,52.95,1.4,8.38,49.4,0.48,19.81,31.5
Jun,107.12,123.16,20.05,245.8,179.57,47.04,245.85,177.01,23.84,245.98,288.19,69.8,161.9
Jul,251.57,312.32,0.0,282.98,399.34,0.0,288.85,437.88,0.0,279.64,190.98,0.0,222.4
Aug,314.76,313.32,0.0,297.75,160.37,0.0,260.97,119.7,0.0,424.64,128.1,0.0,355.2
Sep,144.58,159.8,88.73,178.12,51.76,108.47,166.86,81.02,127.09,163.49,0.0,135.59,39.1
Oct,13.42,24.88,0.0,14.05,11.86,5.78,0.0,0.0,5.0,0.0,0.0,5.31,14.0
Nov,0.28,5.31,0.94,0.11,104.54,0.83,0.2,0.0,14.28,0.41,42.91,23.99,0.2
Dec,6.87,11.5,18.23,19.84,5.23,0.0,4.77,5.02,0.0,5.35,70.62,0.0,0.0
