Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,11.73,15.25,0.32,0.0,23.38,0.0,15.06,27.49,10.97,14.91,4.93,22.1,5.0
Feb,9.7,13.32,0.15,32.67,13.45,0.0,25.81,86.19,18.18,17.75,80.17,4.39,0.0
Mar,2.09,7.73,0.89,2.46,11.78,6.13,2.92,90.98,0.0,28.35,78.81,1.06,0.0
Apr,2.75,6.23,0.0,0.0,8.02,0.0,11.71,29.42,10.17,11.19,31.0,0.0,1.0
May,7.17,10.8,0.0,7.38,10.54,0.0,8.7,28.69,1.55,7.5,0.0,12.58,0.0
Jun,41.55,50.06,2.35,37.6,40.16,0.0,36.77,31.69,20.24,36.43,20.06,7.19,55.0
Jul,175.15,186.74,54.63,198.43,150.51,68.82,14.19,156.34,70.65,10.34,0.0,74.56,248.0
Aug,212.61,197.89,67.02,228.84,168.92,81.73,199.52,217.25,109.84,166.18,0.0,114.41,46.0
Sep,136.79,112.4,100.91,131.66,84.72,104.7,38.56,12.36,45.86,35.59,0.0,45.05,405.0
Oct,5.46,11.38,8.56,5.05,13.92,8.29,4.0,9.38,15.26,0.0,8.16,2.98,0.0
Nov,0.1,5.17,0.0,0.1,4.15,3.18,0.0,0.0,12.95,0.0,0.0,8.72,0.0
Dec,0.61,5.4,0.91,0.11,4.78,0.0,0.0,4.2,8.86,0.0,6.42,3.78,0.0
