Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,11.01,19.03,4.48,0.1,8.61,13.64,8.49,16.76,1.63,0.0
Feb,11.54,12.27,5.27,2.99,19.29,27.75,11.45,2.68,19.8,0.2
Mar,0.47,0.0,0.85,2.4,0.0,13.86,4.77,0.0,19.45,0.0
Apr,2.17,3.64,0.0,0.0,26.42,22.89,13.56,23.83,23.97,18.6
May,2.71,9.69,4.84,26.35,33.38,0.0,10.44,33.39,18.05,24.1
Jun,58.05,61.55,60.21,26.0,67.86,21.0,30.08,90.24,42.81,56.1
Jul,180.49,160.77,117.69,231.91,162.64,166.02,197.44,226.52,190.12,239.3
Aug,169.15,255.19,125.99,167.9,217.57,188.26,167.03,196.57,202.7,204.7
Sep,151.29,168.6,71.26,169.03,155.99,135.67,146.74,164.99,145.73,188.0
Oct,36.25,35.93,3.22,24.31,15.65,34.26,14.14,10.01,31.9,1.9
Nov,0.14,11.5,17.27,0.67,3.36,0.0,0.0,0.0,8.09,0.0
Dec,3.31,3.11,0.0,0.54,0.38,17.59,1.29,13.12,7.57,0.0
