Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,5.6,14.76,0.0,7.49,17.29,16.03,14.07,11.26,0.0,13.05,2.99,15.85,0.0
Feb,18.41,25.12,0.0,18.98,16.53,7.1,17.36,23.29,15.06,16.22,23.49,0.69,0.3
Mar,15.23,17.08,0.0,15.43,16.08,11.2,14.98,9.7,0.0,14.55,8.92,0.0,0.0
Apr,20.73,18.02,2.57,17.7,20.38,4.36,0.0,0.0,0.0,0.0,0.0,18.34,24.3
May,35.98,43.77,14.9,35.0,45.16,23.68,57.7,67.97,52.5,57.29,68.97,46.12,13.2
Jun,140.86,200.89,69.03,149.89,201.81,102.11,114.08,119.11,86.0,112.47,102.06,105.41,146.6
Jul,390.02,326.59,0.0,336.52,327.99,0.0,223.44,258.62,316.4,218.48,361.38,316.16,240.6
Aug,251.49,293.31,0.0,252.83,255.16,0.0,283.49,398.65,0.0,297.31,389.85,0.0,210.4
Sep,241.34,242.31,91.03,232.96,187.23,111.08,233.15,235.92,100.71,240.97,241.48,126.96,103.3
Oct,65.0,80.19,101.61,71.67,85.68,102.71,94.82,84.42,57.8,82.76,48.83,65.25,17.0
Nov,1.4,7.31,0.47,1.2,7.37,0.0,0.02,6.84,14.55,0.02,11.07,2.73,0.0
Dec,0.11,3.39,0.86,0.4,3.54,0.65,0.0,5.03,5.66,0.0,3.88,4.1,14.8
