Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,23.98,18.58,3.1,0.1,8.82,9.15,8.21,10.32,0.0,0.0
Feb,4.77,7.23,13.09,0.07,10.69,0.0,9.08,5.29,11.37,1.7
Mar,8.28,2.72,4.95,0.0,5.68,0.0,0.0,2.64,0.45,0.0
Apr,10.41,21.71,17.28,21.6,27.46,0.0,32.26,52.79,0.18,34.2
May,48.29,58.82,10.28,15.69,13.52,62.22,22.29,126.98,64.24,44.9
Jun,91.28,77.92,64.99,92.65,139.55,66.77,108.6,156.7,85.62,124.4
Jul,242.27,181.18,106.86,280.29,358.57,184.33,367.32,361.95,206.18,254.6
Aug,197.39,167.56,127.03,151.2,209.19,161.43,150.88,205.74,172.7,196.4
Sep,225.3,127.73,75.5,180.06,188.68,131.3,170.22,189.41,148.4,65.7
Oct,51.29,78.77,21.04,0.0,32.45,52.11,6.77,36.55,58.4,53.9
Nov,6.0,6.87,0.0,0.4,0.84,20.92,0.0,0.63,3.28,0.0
Dec,0.45,2.67,17.19,0.44,0.31,0.0,0.0,0.5,0.0,8.3
