Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,9.99,15.61,0.0,0.27,14.93,8.55,0.0,8.71,3.96,0.0,8.87,1.14,4.4
Feb,20.97,31.9,15.05,26.11,16.52,8.37,45.61,0.0,0.0,72.81,0.0,9.54,30.9
Mar,44.08,69.95,94.1,27.61,70.38,92.37,32.68,0.0,64.97,28.05,0.0,64.13,79.8
Apr,155.08,167.57,140.59,155.3,170.1,143.6,89.72,117.01,145.68,72.44,126.23,139.72,79.2
May,290.27,295.22,0.0,281.86,252.5,0.0,219.73,215.4,205.09,182.94,215.87,210.51,194.9
Jun,271.78,309.28,4197663488.0,283.17,283.21,0.0,292.64,170.25,197.92,277.22,163.12,198.27,322.7
Jul,391.15,401.91,0.0,418.27,381.78,0.0,257.02,329.59,258.79,265.64,157.29,283.13,183.5
Aug,309.41,320.79,0.0,308.98,303.85,0.0,194.1,249.3,225.43,195.53,152.5,223.2,245.1
Sep,235.19,231.55,192.96,235.6,223.99,191.59,213.75,213.67,206.17,207.36,128.43,203.83,180.8
Oct,84.57,137.52,116.2,87.48,137.55,121.29,19.14,18.45,77.91,27.25,20.18,52.86,26.9
Nov,11.51,26.66,2.77,7.8,31.26,13.47,6.74,8.93,4.62,5.87,0.0,5.11,28.4
Dec,3.15,9.63,0.0,2.68,11.95,7.84,3.01,12.35,1.21,3.03,11.95,0.0,30.9
