Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,7.4,12.3,0.0,8.46,13.51,10.01,2.01,4.74,9.91,0.0,0.0,0.0,0.0
Feb,5.71,11.98,0.19,7.35,11.73,5.39,13.75,11.47,0.0,13.88,10.97,17.77,0.0
Mar,8.81,8.29,0.0,6.84,8.54,17.32,39.51,8.71,0.0,39.21,9.46,11.98,0.0
Apr,5.99,7.85,5.66,4.66,8.63,0.0,19.71,0.0,0.0,18.34,0.0,8.91,9.6
May,15.43,29.5,51.82,34.27,32.86,43.87,14.03,39.83,26.37,16.8,42.54,52.05,69.1
Jun,115.88,122.98,75.75,118.26,131.74,82.65,94.21,121.13,92.75,94.74,100.23,89.75,51.1
Jul,271.77,306.35,0.0,306.07,298.45,0.0,0.0,210.76,368.11,0.0,284.96,351.31,302.0
Aug,282.85,277.55,0.0,271.53,269.42,0.0,234.81,209.5,168.78,228.27,196.81,167.51,348.0
Sep,182.14,187.13,165.1,190.11,172.95,167.97,214.34,177.65,163.55,221.64,111.4,168.25,60.0
Oct,61.58,51.97,1.8,60.39,51.78,25.55,40.65,53.75,38.78,34.11,0.0,50.97,0.0
Nov,0.1,5.14,0.0,0.1,5.26,9.66,0.07,0.02,0.0,0.07,0.02,1.42,0.0
Dec,0.49,2.09,0.0,0.33,1.77,0.0,0.0,1.18,0.0,0.0,0.0,5.36,0.0
