Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,0.0,20.88,6.93,0.3,10.17,0.0,18.28,19.87,18.82,1.5
Feb,8.9,12.58,20.98,9.21,18.54,5.28,19.52,13.23,15.54,1.3
Mar,2.14,2.31,17.96,0.0,6.35,0.0,2.08,5.03,0.0,4.2
Apr,5.34,6.63,0.0,29.7,18.37,23.11,15.6,16.16,12.33,33.2
May,11.96,22.31,0.0,87.06,82.94,14.65,60.91,86.12,31.27,37.1
Jun,71.35,82.52,66.99,104.43,148.47,59.67,105.17,155.87,113.84,144.0
Jul,176.95,204.94,129.92,242.57,237.61,218.12,302.33,235.03,243.01,329.4
Aug,240.47,277.59,90.75,300.4,233.96,214.98,273.48,226.88,223.85,280.9
Sep,184.5,189.72,89.05,161.87,180.99,168.76,144.46,179.53,170.17,90.9
Oct,39.66,48.84,29.27,26.97,41.5,47.51,3.36,36.3,46.27,0.0
Nov,0.57,5.29,0.0,0.0,3.65,19.53,0.04,1.01,0.0,0.0
Dec,1.42,3.02,4.14,0.0,1.96,0.0,0.44,3.58,0.0,0.0
