Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,0.1,1.73,0.0,0.2,2.23,0.0,14.5,7.27,0.0,2.52,4.04,4.76,5.3
Feb,0.09,2.59,2.11,0.95,3.88,12.88,3.74,4.18,0.0,6.81,8.58,0.0,0.0
Mar,22.67,4.91,0.0,8.19,6.49,8.19,11.16,4.27,0.0,0.0,49.81,0.56,35.5
Apr,13.73,21.94,21.99,12.67,21.54,9.01,27.81,35.11,13.95,28.23,27.27,17.01,94.1
May,24.54,39.33,16.22,21.58,36.34,36.69,24.02,52.45,34.34,24.2,0.0,48.12,16.5
Jun,93.36,90.17,35.91,88.06,95.85,50.55,98.22,181.04,45.65,144.09,172.97,56.79,58.7
Jul,112.89,107.52,85.65,109.66,107.03,85.93,220.73,157.15,103.83,212.73,139.48,106.32,61.8
Aug,92.59,111.6,190.69,93.0,116.34,196.63,127.66,243.82,162.55,138.42,601.34,182.79,117.2
Sep,149.94,174.12,102.13,161.0,181.79,110.99,204.37,216.51,96.64,184.51,225.79,105.63,169.6
Oct,85.14,88.22,28.39,85.91,93.3,46.6,144.14,134.2,24.49,151.77,136.3,32.47,32.2
Nov,20.26,26.35,14.97,21.48,26.46,18.04,14.8,0.0,12.75,12.91,11.78,19.85,0.5
Dec,0.0,4.72,2.43,0.0,3.98,0.0,0.0,0.78,12.21,1.1,4.77,0.0,3.9
