Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,12.55,9.7,24.49,12.31,9.08,14.17,0.0,0.0,0.0,0.0,0.0,2.01,1.6
Feb,8.69,13.12,0.0,12.7,11.3,0.0,4.45,3.71,8.84,4.93,5.16,6.22,0.0
Mar,5.12,6.91,0.0,3.3,6.79,5.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apr,2.62,5.63,1.18,3.72,6.44,12.26,0.0,5.88,0.0,2.21,5.32,15.27,4.8
May,7.51,12.91,0.0,9.52,13.03,8.43,10.58,9.43,5.29,16.24,7.93,3.16,3.4
Jun,25.17,43.39,39.16,23.75,49.4,46.6,258.57,32.4,19.93,259.97,22.78,28.54,64.9
Jul,184.06,181.46,48.54,181.18,182.07,58.65,328.94,173.42,85.28,329.62,103.7,88.65,118.3
Aug,123.57,168.86,25.86,141.0,187.11,56.59,141.65,99.45,56.62,138.21,0.0,58.02,116.0
Sep,75.87,95.69,43.95,78.51,107.23,51.54,19.9,67.38,48.99,20.14,24.82,44.79,112.2
Oct,2.98,7.63,0.2,0.71,2.57,0.0,8.73,1.04,0.0,8.37,7.6,10.86,0.0
Nov,0.1,4.89,0.0,0.1,4.72,5.99,0.0,1.04,5.85,0.0,1.21,5.48,4.3
Dec,3.02,3.84,0.0,0.98,3.56,8.35,1.05,0.0,0.0,1.21,0.04,0.0,0.3
