Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,7.79,10.49,0.0,0.0,19.79,2.4,0.0,20.37,0.76,1.6
Feb,2.14,6.97,0.0,1.0,0.0,15.15,0.4,0.0,17.96,0.0
Mar,0.67,0.0,0.0,6.92,0.0,0.76,0.44,0.0,15.1,0.0
Apr,1.64,0.07,0.0,9.42,5.9,12.21,5.44,3.45,5.06,4.8
May,0.87,3.67,12.46,0.0,7.98,10.82,0.0,8.25,10.37,3.4
Jun,10.39,14.96,33.28,44.77,75.22,40.88,29.65,77.34,35.77,64.9
Jul,81.44,101.93,84.11,83.06,133.8,107.85,102.66,138.26,132.72,118.3
Aug,100.72,22.81,89.85,157.53,96.28,134.61,97.27,105.74,147.24,116.0
Sep,68.7,74.31,52.99,65.75,82.46,62.92,73.8,68.32,83.77,112.2
Oct,2.58,7.27,0.0,0.16,4.86,4.39,0.29,5.84,0.0,0.0
Nov,0.69,4.01,11.71,0.18,2.47,0.0,0.61,1.48,4.0,4.3
Dec,1.14,3.9,6.94,0.34,0.79,0.0,0.0,1.82,1.31,0.3
