Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,3.88,10.81,0.3,0.0,8.52,0.0,0.0,0.0,0.0,0.0,0.0,4.96,2.0
Feb,23.7,40.64,13.48,22.83,32.48,25.38,82.78,59.98,47.57,81.36,59.86,38.86,7.4
Mar,62.99,67.78,137.47,58.1,70.07,132.39,52.94,0.0,94.26,54.26,0.0,141.73,88.9
Apr,253.9,253.72,339.99,184.95,239.6,330.7,146.08,153.62,0.0,138.67,484.31,0.0,144.0
May,426.4,424.02,0.0,409.55,394.57,0.0,317.92,393.84,0.0,308.97,461.43,0.0,348.7
Jun,647.19,611.67,0.0,654.18,617.97,0.0,9.91,320.97,489.42,304.65,475.69,502.24,376.4
Jul,490.08,470.43,0.0,463.83,421.25,0.0,321.25,197.38,0.0,307.32,187.21,0.0,231.1
Aug,453.99,471.98,0.0,433.61,506.57,0.0,164.01,364.28,0.0,164.3,498.14,0.0,391.2
Sep,279.83,296.1,0.0,280.83,255.36,0.0,262.43,272.23,74.58,251.39,535.57,67.55,232.8
Oct,179.88,197.52,127.92,177.07,160.61,131.93,113.89,131.61,130.41,165.1,131.8,144.0,127.2
Nov,14.74,42.17,1.01,12.43,33.74,15.57,18.78,36.11,20.46,18.08,74.79,16.74,8.0
Dec,1.16,16.48,0.0,19.16,31.32,43.42,26.37,186.76,0.0,42.34,137.99,57.1,25.2
