Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,6.65,10.76,9.17,0.0,1.46,4.78,1.57,12.3,8.04,2.0
Feb,16.82,22.48,23.37,6.08,13.62,15.98,7.63,0.0,17.8,7.4
Mar,64.51,32.43,37.18,56.7,40.16,40.09,64.54,58.48,55.14,88.9
Apr,77.35,119.62,103.48,89.37,114.71,245.32,81.67,66.67,265.2,144.0
May,380.49,337.57,145.95,283.4,277.82,285.67,283.9,477.25,299.02,348.7
Jun,256.48,188.97,181.07,368.46,296.56,265.41,355.56,186.1,278.32,376.4
Jul,599.77,192.21,166.14,581.05,449.69,277.04,318.08,491.96,284.06,231.1
Aug,184.4,244.1,159.56,306.08,284.18,305.96,266.03,405.65,317.42,391.2
Sep,326.96,191.37,120.43,150.57,192.35,233.72,169.39,0.0,238.03,232.8
Oct,79.66,160.05,64.94,48.35,67.78,101.18,107.52,127.44,100.19,127.2
Nov,16.83,34.83,0.0,14.19,1.71,19.24,4.25,0.0,13.12,8.0
Dec,1.61,7.71,14.99,0.0,9.86,7.83,5.84,0.0,8.47,25.2
