Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,15.64,15.47,19.55,0.0,6.4,6.7,12.1,12.37,16.25,1.0
Feb,6.4,7.61,0.0,10.2,10.06,15.38,2.0,10.18,10.14,11.2
Mar,0.48,0.0,0.0,2.9,1.75,0.0,2.23,1.22,5.45,0.0
Apr,1.82,2.43,0.0,1.08,8.05,0.0,2.24,4.85,19.64,4.8
May,2.44,6.91,24.81,6.26,20.79,0.0,14.43,20.65,6.01,3.0
Jun,31.65,41.15,22.33,38.72,55.6,14.77,54.98,55.46,21.99,30.2
Jul,127.2,165.31,94.1,331.99,209.61,157.17,241.73,218.38,186.09,249.5
Aug,304.9,289.03,87.23,167.21,185.51,151.95,177.37,218.95,168.31,238.5
Sep,179.43,173.48,70.94,99.51,124.54,112.79,94.86,178.04,118.34,88.3
Oct,14.77,30.66,22.68,13.31,21.21,16.82,17.53,26.4,20.58,0.0
Nov,0.44,4.0,19.84,15.47,7.59,0.0,22.9,7.58,7.63,0.0
Dec,3.3,8.81,12.57,0.0,3.42,0.0,9.58,18.06,0.29,0.0
