Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,4.65,2.33,0.0,0.02,2.47,0.0,2.95,2.97,0.0,2.81,3.59,0.0,0.0
Feb,0.23,3.19,0.0,0.15,3.12,0.0,2.73,7.52,0.0,2.25,7.53,1.57,8.1
Mar,8.56,16.6,3.61,2.86,16.54,10.7,9.8,12.23,16.13,12.97,11.9,15.85,40.9
Apr,64.86,56.32,26.5,57.92,58.07,35.82,95.61,83.49,58.58,94.49,85.13,58.34,53.1
May,153.32,157.02,131.62,152.22,157.54,135.55,144.36,114.22,138.67,93.94,115.04,137.8,227.2
Jun,144.64,431.11,0.0,124.81,368.13,0.0,96.7,116.2,92.04,99.65,96.78,87.72,246.9
Jul,131.08,498.69,0.0,158.66,598.16,0.0,133.1,150.23,90.3,124.88,125.31,93.71,177.0
Aug,158.16,396.13,0.0,174.34,380.86,0.0,169.48,111.32,112.01,156.99,128.47,112.37,139.4
Sep,172.45,199.48,173.39,168.19,199.25,173.92,211.16,103.87,160.73,198.48,71.88,157.89,164.5
Oct,157.02,170.67,90.34,159.52,130.97,91.39,39.91,44.41,84.58,28.59,83.83,84.88,109.0
Nov,55.71,66.58,9.47,57.67,75.61,26.28,22.51,77.27,63.77,22.71,78.36,60.04,21.8
Dec,4.47,16.18,4.66,4.66,12.44,0.0,11.65,11.64,1.61,11.51,0.85,9.23,0.9
