Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,7.82,13.4,0.0,2.85,14.72,6.33,0.0,0.0,7.81,0.0,0.0,1.97,0.0
Feb,25.81,29.66,0.0,40.54,25.38,15.63,25.93,43.45,13.01,26.7,42.81,8.21,0.1
Mar,31.25,34.81,25.08,13.02,24.04,34.89,0.77,137.11,42.02,0.0,174.8,43.48,3.4
Apr,34.47,56.92,4.38,29.15,52.57,12.44,36.78,18.79,19.91,36.33,19.42,29.63,57.5
May,77.42,88.54,48.5,62.54,82.87,65.58,60.44,60.96,46.24,60.3,60.28,57.28,56.4
Jun,205.11,253.74,135.87,228.0,255.32,154.06,153.52,167.99,161.06,160.25,167.89,161.97,161.4
Jul,381.61,330.29,0.0,267.84,416.54,0.0,221.37,486.61,0.0,234.01,481.96,0.0,296.4
Aug,350.26,350.76,0.0,344.27,246.28,0.0,330.28,249.38,0.0,327.52,317.36,76.38,217.4
Sep,264.38,299.07,104.73,274.0,312.94,61.49,244.99,208.0,151.88,231.74,203.53,158.33,203.6
Oct,118.29,151.84,164.24,117.06,162.75,165.97,0.0,130.42,117.41,0.0,93.74,114.03,44.4
Nov,5.3,19.46,0.0,7.72,26.71,12.99,9.9,29.18,32.14,10.49,13.59,39.81,6.2
Dec,0.62,5.82,0.0,0.08,8.38,18.82,0.0,8.03,9.72,0.0,2.59,14.79,14.1
