Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,5.64,12.79,12.87,5.9,0.0,0.0,6.02,2.98,6.96,0.0
Feb,19.24,8.03,27.34,14.32,1.59,20.07,5.68,0.0,7.98,0.1
Mar,9.32,0.0,19.7,9.9,8.9,0.0,10.1,9.02,13.55,3.4
Apr,21.61,34.85,26.03,48.12,28.2,27.7,48.76,62.46,23.93,57.5
May,52.35,71.27,45.01,35.79,93.53,68.23,69.42,226.43,84.27,56.4
Jun,124.72,101.57,109.47,0.0,136.43,117.75,97.76,157.71,134.27,161.4
Jul,333.27,271.67,130.2,481.0,472.08,316.03,354.67,434.15,332.97,296.4
Aug,299.38,236.17,106.4,309.4,289.27,248.91,267.56,291.57,254.83,217.4
Sep,155.6,130.26,89.65,155.6,201.39,197.15,208.1,201.46,205.4,203.6
Oct,98.5,107.51,43.44,51.14,0.0,97.81,22.88,6.92,104.34,44.4
Nov,0.0,13.93,24.94,0.1,29.19,30.82,18.65,13.33,37.5,6.2
Dec,1.69,7.07,0.0,13.08,9.13,0.0,0.91,24.81,3.28,14.1
