Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,18.15,13.37,0.0,5.8,0.0,0.19,7.11,0.0,16.37,0.0
Feb,2.13,3.52,17.38,0.99,3.82,5.5,1.06,5.79,7.36,3.4
Mar,0.0,0.0,0.0,0.0,0.0,13.91,0.0,0.0,0.0,0.0
Apr,0.94,0.94,0.0,9.82,4.62,0.0,3.85,6.32,0.0,8.5
May,2.51,2.61,0.0,1.6,13.59,11.09,2.22,13.56,9.32,28.2
Jun,25.72,33.9,41.36,20.9,47.36,0.0,35.18,45.9,24.95,37.3
Jul,170.62,171.16,112.29,142.54,178.16,122.7,199.03,174.97,154.77,288.4
Aug,168.14,206.95,106.53,230.23,174.86,142.43,187.48,185.11,157.65,161.0
Sep,130.3,148.84,51.32,44.61,91.59,62.77,36.5,204.25,77.21,116.8
Oct,0.42,8.14,0.0,0.0,37.39,25.36,0.0,32.13,37.01,0.0
Nov,0.17,8.7,23.78,6.84,10.22,1.76,9.78,13.37,3.18,0.0
Dec,2.74,7.12,0.0,6.63,5.13,14.62,20.51,20.19,0.0,0.0
