Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,0.22,4.0,0.0,0.09,4.19,0.0,5.69,7.32,0.0,2.67,6.69,10.16,0.0
Feb,1.35,3.16,0.25,1.3,3.16,6.8,0.0,1.54,0.0,0.0,1.41,0.0,3.5
Mar,0.24,3.5,0.13,0.73,6.14,0.0,0.1,8.08,0.0,1.91,19.18,0.73,0.3
Apr,3.05,8.56,0.83,4.41,8.14,14.44,0.0,4.47,0.07,0.0,7.99,1.83,0.0
May,4.74,17.18,0.66,4.26,11.84,0.0,2.94,2.2,11.62,3.07,10.01,15.54,0.0
Jun,100.15,112.9,130.1,106.17,104.91,129.99,101.53,82.17,106.27,106.27,79.68,106.67,103.2
Jul,153.55,150.32,51.46,146.84,149.23,61.03,117.77,196.58,92.37,112.31,198.0,100.97,114.5
Aug,78.66,128.95,160.4,81.29,127.29,160.31,187.41,154.92,154.64,159.51,111.83,158.2,193.6
Sep,201.63,194.12,131.98,200.38,187.71,132.41,102.15,167.22,152.73,102.33,164.86,154.14,23.9
Oct,23.38,58.73,48.39,25.19,67.9,55.98,40.35,80.86,71.72,36.8,109.99,70.07,1.0
Nov,3.69,30.49,0.0,2.15,34.9,0.0,0.49,0.1,30.89,0.54,0.0,22.88,10.9
Dec,0.23,9.25,0.48,0.32,7.7,0.0,0.65,1.57,13.83,1.49,2.29,3.1,0.0
