Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,4.39,7.78,14.44,0.15,3.82,0.0,4.9,5.38,1.99,0.1
Feb,2.13,5.33,0.0,0.0,8.01,0.0,0.0,5.42,9.16,1.0
Mar,15.67,16.85,12.52,42.9,36.75,29.48,20.9,37.84,6.97,47.2
Apr,79.6,85.73,28.89,173.83,142.57,74.19,171.34,113.26,90.52,140.0
May,228.92,240.69,61.39,276.85,270.02,264.7,276.18,272.63,283.31,448.5
Jun,375.79,455.62,176.73,714.32,726.23,659.77,698.13,681.46,678.8,672.9
Jul,812.12,511.19,198.22,393.56,619.8,688.84,430.3,468.05,711.01,745.2
Aug,484.78,399.72,155.8,413.96,519.27,588.63,529.68,536.71,614.8,571.7
Sep,329.3,357.87,118.97,477.1,487.42,434.11,504.81,494.72,456.07,799.9
Oct,101.48,180.68,39.18,67.2,121.3,138.99,165.89,189.62,148.09,90.9
Nov,4.9,9.12,12.24,2.7,12.03,13.99,3.19,24.17,9.32,2.6
Dec,1.71,5.48,9.47,35.54,8.03,3.03,9.97,15.98,0.0,4.7
