Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,13.23,13.95,0.0,15.69,15.51,0.0,14.95,17.64,18.94,13.35,9.79,9.57,0.0
Feb,7.99,20.79,0.0,3.31,11.74,0.0,1.05,22.52,3.37,1.61,9.66,12.0,0.0
Mar,4.61,14.23,0.0,2.07,11.34,14.61,2.47,15.78,0.0,2.59,16.09,0.0,0.0
Apr,7.0,14.96,0.0,5.09,17.06,11.8,0.0,0.0,18.75,0.0,0.0,11.9,0.3
May,27.44,41.15,41.37,12.55,52.44,67.06,17.8,54.92,54.56,17.81,53.18,62.75,45.1
Jun,154.19,182.74,66.6,157.05,187.79,98.98,125.07,128.37,69.26,124.41,99.83,76.54,49.1
Jul,301.17,314.1,346.76,307.41,332.39,282.37,343.85,292.57,370.78,350.51,289.28,373.45,302.2
Aug,249.62,280.45,0.0,251.06,214.15,0.0,163.16,222.95,170.65,177.56,215.02,161.83,194.8
Sep,199.24,241.13,57.73,200.91,175.71,71.98,345.27,236.02,95.9,383.38,234.19,114.29,52.3
Oct,51.22,83.67,154.24,50.44,103.04,139.18,29.13,107.36,120.9,26.96,73.94,106.11,24.1
Nov,0.75,5.33,0.4,0.15,5.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dec,0.1,2.98,0.0,0.28,2.65,0.0,0.0,0.0,0.75,0.0,0.0,1.9,13.7
