Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,3.97,15.44,0.0,0.1,8.69,6.79,8.63,13.95,5.18,0.0
Feb,3.77,3.38,20.55,41.69,20.87,18.54,1.94,5.11,13.11,0.0
Mar,0.0,0.0,16.65,0.0,0.0,0.0,0.0,0.0,5.17,0.0
Apr,5.57,10.36,0.0,19.78,21.44,0.0,25.2,23.7,6.73,0.3
May,21.95,35.41,23.01,0.0,70.95,14.91,0.0,132.24,26.41,45.1
Jun,97.21,66.33,68.2,82.76,94.81,52.28,88.23,108.0,79.43,49.1
Jul,204.72,187.24,98.85,233.08,245.46,196.77,266.15,282.21,220.6,302.2
Aug,234.09,173.28,94.09,222.67,203.69,192.96,199.55,201.94,198.63,194.8
Sep,124.39,107.29,64.0,114.4,129.07,139.16,125.11,151.93,154.64,52.3
Oct,91.33,72.74,5.93,0.0,62.31,67.33,0.38,68.87,74.4,24.1
Nov,0.57,6.16,9.49,0.0,0.0,18.9,0.0,0.0,6.58,0.0
Dec,1.63,3.2,14.28,0.0,0.29,0.0,0.0,1.77,6.48,13.7
