Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,9.25,9.31,0.95,11.52,0.0,12.36,17.2,0.0,3.33,0.0
Feb,1.43,3.37,10.52,0.0,0.0,0.0,0.0,1.4,11.0,13.4
Mar,4.67,5.56,14.15,0.0,0.0,1.72,5.17,0.0,18.92,0.0
Apr,10.46,11.83,21.85,28.45,10.46,11.0,17.67,14.38,0.0,1.7
May,13.49,16.85,12.5,9.23,6.99,14.18,6.36,7.02,0.0,29.1
Jun,143.27,143.74,69.52,196.94,132.76,64.14,203.88,139.56,102.58,116.6
Jul,327.09,310.48,135.2,364.18,337.72,314.26,334.17,344.14,334.0,282.2
Aug,368.25,382.15,139.51,380.49,413.85,347.45,386.25,442.89,349.27,355.4
Sep,247.26,228.44,46.63,239.4,191.27,166.22,191.62,196.03,176.42,85.0
Oct,29.05,40.29,34.9,17.15,15.76,56.7,16.69,18.0,46.17,0.0
Nov,8.36,7.62,0.0,0.73,1.03,0.0,0.0,0.0,3.49,0.0
Dec,0.0,3.89,11.98,1.2,5.69,5.53,0.71,12.0,13.77,52.3
