Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,9.24,16.6,0.55,10.16,16.02,0.0,16.0,14.63,16.1,13.95,4.0,17.76,0.0
Feb,5.91,14.14,0.0,5.77,14.79,13.12,0.0,1.88,0.0,0.0,4.95,9.28,1.7
Mar,4.81,9.77,0.0,4.71,9.31,13.82,17.06,8.32,0.0,14.95,0.0,4.6,0.0
Apr,2.81,4.13,0.62,2.35,4.73,0.0,1.65,2.55,4.84,2.0,0.0,0.0,2.9
May,7.38,9.53,5.41,7.28,10.13,18.54,23.83,44.74,0.0,24.85,32.97,11.37,7.5
Jun,82.1,83.0,15.09,78.01,83.2,18.54,60.37,53.48,26.06,59.92,42.35,22.24,19.0
Jul,239.01,272.51,83.26,235.86,253.14,170.41,202.52,144.96,196.35,203.24,193.44,192.68,192.4
Aug,254.15,243.56,85.42,209.65,241.74,94.29,223.9,195.17,97.48,223.55,209.65,122.22,191.5
Sep,172.84,178.44,51.96,169.74,162.57,69.31,61.31,122.35,65.81,65.05,113.97,81.25,93.5
Oct,25.39,34.29,0.39,24.13,31.05,17.17,0.0,70.26,52.42,0.0,103.76,35.63,0.0
Nov,0.11,9.43,0.93,0.17,9.56,6.11,0.1,4.99,3.87,0.14,5.37,5.08,0.0
Dec,0.6,3.28,0.0,0.4,3.22,0.0,0.22,0.39,0.03,0.0,0.18,0.0,0.0
