Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,0.1,1.73,14.78,0.34,0.0,4.52,0.0,0.0,1.37,0.0
Feb,0.11,0.3,0.0,0.1,0.0,5.87,0.14,0.0,0.0,0.0
Mar,0.15,1.88,0.0,0.1,0.0,10.8,0.33,0.0,1.91,0.0
Apr,0.28,1.67,0.0,10.77,3.24,0.0,0.26,2.14,0.0,0.0
May,0.0,0.33,5.28,0.0,0.0,0.0,0.0,0.0,19.81,0.0
Jun,92.12,53.36,39.27,79.47,51.86,49.13,61.97,44.64,54.67,128.0
Jul,427.25,387.58,114.58,235.34,313.77,291.84,306.37,387.0,300.24,284.9
Aug,310.43,310.34,62.75,129.7,206.86,221.73,206.45,198.9,219.66,228.9
Sep,430.8,340.79,39.22,171.09,137.7,136.54,177.6,143.73,138.07,132.7
Oct,16.52,23.34,0.0,27.0,16.04,9.27,5.28,48.66,17.88,0.0
Nov,1.53,15.01,19.13,0.0,5.53,0.0,0.85,6.64,2.65,0.0
Dec,0.0,1.95,7.69,0.1,0.57,8.37,0.0,0.9,0.0,0.0
