Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,1.77,4.85,0.0,2.11,5.1,8.13,0.0,0.0,0.0,0.0,0.0,0.11,0.0
Feb,0.46,1.57,0.6,0.37,1.19,12.56,1.04,3.65,6.74,2.02,0.13,0.0,0.0
Mar,1.15,3.04,0.16,1.09,3.04,0.0,3.87,13.36,0.0,4.92,14.25,9.06,0.0
Apr,0.38,1.56,0.0,0.6,1.65,5.23,0.0,1.27,0.0,0.57,1.27,3.58,0.1
May,7.62,5.92,0.0,3.68,6.31,9.74,0.97,8.84,1.67,2.29,8.85,0.0,0.0
Jun,85.99,95.79,77.04,83.4,93.72,87.49,112.44,75.48,65.11,112.65,85.14,69.88,130.8
Jul,267.23,287.63,377.02,285.36,322.39,364.88,421.76,369.09,0.0,426.8,439.74,0.0,387.8
Aug,234.59,274.66,124.96,225.92,276.84,142.19,288.95,391.99,0.0,319.16,494.43,0.0,204.3
Sep,162.77,170.4,80.95,150.26,172.91,79.9,91.64,89.62,93.38,90.4,84.29,95.78,235.6
Oct,6.9,19.76,0.58,3.09,18.46,25.47,20.66,28.57,0.42,20.65,53.22,12.71,0.0
Nov,1.99,20.56,0.85,3.25,20.64,11.53,0.1,0.0,2.04,0.31,1.04,10.09,0.0
Dec,0.88,4.15,0.0,1.53,4.37,0.0,0.0,0.0,11.45,0.0,0.0,0.75,0.0
