Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,8.83,14.37,0.0,5.09,12.66,14.29,14.89,19.16,18.68,16.48,10.12,25.72,0.0
Feb,6.56,9.79,0.22,2.94,5.27,8.44,13.01,14.41,11.9,10.89,0.0,16.93,2.3
Mar,4.78,6.56,0.86,2.39,6.54,13.57,4.26,6.52,11.04,3.81,5.56,0.0,0.3
Apr,0.8,3.89,0.23,1.44,7.59,0.0,0.39,27.2,0.0,3.29,25.76,0.0,9.6
May,4.08,6.89,5.33,7.04,7.43,0.0,9.83,14.34,0.0,13.35,12.52,7.8,5.4
Jun,86.76,85.71,53.79,85.79,83.09,67.93,102.05,20.63,28.34,100.89,0.0,42.72,50.0
Jul,294.54,316.82,0.0,286.54,318.87,0.0,210.88,225.54,145.08,215.6,261.8,146.33,290.6
Aug,264.76,262.5,0.0,240.49,264.08,0.0,159.33,194.28,129.48,159.27,212.83,145.65,232.4
Sep,137.2,146.17,47.11,136.24,143.17,73.08,37.07,71.76,61.02,35.08,69.59,72.7,202.0
Oct,8.31,22.44,0.18,10.68,19.71,0.0,75.72,64.11,33.75,74.58,13.02,28.07,0.0
Nov,3.33,14.39,0.07,2.1,12.93,0.0,3.12,0.0,7.56,4.05,0.0,21.04,0.0
Dec,2.13,6.83,0.15,1.2,5.95,6.57,0.0,10.06,0.0,0.0,7.64,12.28,0.0
