Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,5.62,6.05,0.0,3.28,5.79,6.12,0.0,0.0,1.38,0.0,0.0,0.0,0.6
Feb,5.65,9.4,0.0,7.32,7.66,0.0,0.43,5.94,2.21,0.91,4.9,0.0,0.9
Mar,1.72,4.85,0.0,1.31,4.85,0.0,0.0,0.0,0.0,0.0,0.0,15.29,0.3
Apr,2.46,7.49,0.0,8.15,10.86,0.0,41.1,34.83,0.0,116.61,32.73,16.37,28.9
May,11.09,15.92,0.0,21.37,19.15,0.0,2.79,25.81,0.0,4.2,24.81,18.49,14.6
Jun,33.7,43.79,25.47,33.94,49.88,43.34,40.06,70.57,59.89,39.7,78.59,77.9,110.8
Jul,137.71,145.48,78.01,136.56,144.24,83.34,154.52,135.73,89.32,151.83,153.42,93.88,134.8
Aug,180.71,129.95,41.17,175.03,156.19,44.01,281.47,194.68,87.33,290.62,193.08,80.99,75.9
Sep,35.93,63.53,12.05,46.55,74.61,39.57,14.49,19.0,37.72,13.52,46.24,27.94,80.7
Oct,2.38,5.02,0.04,0.99,3.14,0.0,42.32,0.0,0.0,34.6,0.0,8.01,1.8
Nov,0.14,4.98,2.93,1.65,4.98,4.73,0.0,2.86,4.29,0.21,2.13,0.0,2.9
Dec,3.3,3.87,0.0,3.31,3.82,0.0,0.23,0.0,3.73,0.0,0.0,0.0,0.1
