Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,4.69,5.82,13.61,8.87,12.92,5.15,30.88,12.7,0.0,0.6
Feb,0.41,5.23,14.72,0.03,0.13,18.14,0.79,0.0,1.44,0.9
Mar,0.83,0.97,10.91,7.46,0.0,1.17,5.75,0.0,0.0,0.3
Apr,1.7,2.37,0.0,0.0,12.89,0.0,5.08,15.75,1.84,28.9
May,0.91,5.92,14.52,15.75,0.65,3.8,3.88,0.61,9.56,14.6
Jun,15.86,13.19,24.72,23.6,51.78,0.0,41.99,26.66,36.97,110.8
Jul,97.0,100.11,78.9,98.1,131.53,64.15,118.16,134.6,106.74,134.8
Aug,79.3,64.69,62.76,188.24,143.63,113.17,141.73,150.54,138.28,75.9
Sep,65.31,66.58,31.06,74.99,100.16,45.51,86.02,98.64,69.34,80.7
Oct,1.23,5.59,5.67,3.99,7.63,0.0,3.87,8.21,0.0,1.8
Nov,0.62,4.39,6.16,0.0,3.77,0.0,0.0,3.26,0.0,2.9
Dec,0.3,3.78,0.0,0.0,1.06,0.0,0.0,1.31,0.0,0.1
