Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,0.0,8.04,9.99,0.0,9.27,0.0,19.85,0.0,8.63,25.27,0.0,0.0,6.8
Feb,9.96,14.25,1.0,18.73,9.49,18.9,2.2,2.84,5.74,7.81,0.0,9.84,7.0
Mar,6.93,10.94,0.01,10.68,10.79,2.94,22.15,0.0,13.88,4.48,0.0,17.46,0.0
Apr,3.31,7.38,0.68,2.35,6.2,17.38,12.5,11.85,0.0,10.06,11.19,0.0,4.3
May,11.38,12.64,0.0,8.9,12.34,9.6,4.9,0.0,3.87,5.17,1.5,14.18,1.7
Jun,68.86,35.64,59.11,62.88,50.8,52.85,12.59,0.0,44.23,12.26,0.0,60.55,68.5
Jul,134.25,126.99,34.9,134.16,125.07,34.48,98.24,150.31,71.08,97.64,155.63,57.51,105.0
Aug,127.71,130.78,62.11,123.94,116.14,75.93,92.78,78.78,72.74,92.8,87.79,83.04,64.2
Sep,52.58,65.15,32.13,48.77,68.53,46.55,0.0,42.77,36.34,0.0,1.54,50.72,155.7
Oct,1.0,4.89,0.24,0.35,1.22,0.0,0.42,0.0,0.0,2.2,0.0,0.0,0.0
Nov,1.04,4.38,2.63,1.07,4.33,13.02,1.03,2.26,0.0,4.19,0.9,0.0,0.8
Dec,4.91,4.45,3.03,3.5,4.16,4.71,0.0,0.0,4.3,0.0,0.0,0.0,3.3
