Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,0.0,2.67,0.0,2.74,2.63,0.0,2.76,0.0,17.05,0.0,0.0,7.56,0.0
Feb,1.39,3.89,0.0,1.27,3.79,0.0,0.52,5.69,0.59,0.0,4.21,0.0,0.0
Mar,0.0,3.47,0.0,0.71,3.55,7.61,3.96,0.0,0.93,0.0,0.0,1.37,0.3
Apr,3.27,5.63,4.81,3.03,5.45,0.0,19.85,8.23,3.68,17.14,6.99,0.0,0.1
May,6.91,11.02,0.0,1.3,16.12,0.0,22.72,0.0,0.0,55.62,0.0,0.0,7.0
Jun,16.82,30.34,3.13,25.57,33.78,26.67,48.36,17.19,60.79,49.64,3.12,28.39,50.0
Jul,98.62,98.13,170.65,85.43,100.1,161.13,80.47,63.84,145.15,79.94,63.4,154.69,104.2
Aug,113.94,99.94,29.61,114.02,107.56,52.93,161.58,170.74,81.87,156.96,176.86,74.93,52.7
Sep,54.94,47.95,11.19,52.47,49.15,10.36,13.28,54.04,44.0,20.01,44.75,24.32,25.1
Oct,0.92,6.47,0.72,0.81,6.61,0.0,0.75,21.49,5.33,1.32,90.84,15.82,0.3
Nov,0.1,3.91,0.69,0.1,5.09,0.0,0.1,0.0,0.0,0.1,0.0,2.85,0.0
Dec,0.35,1.28,0.1,0.39,1.36,13.22,0.0,0.0,0.0,0.0,0.0,0.0,0.2
