Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,8.84,18.44,0.36,4.94,17.95,9.62,3.93,10.05,5.41,3.18,6.12,10.25,1.0
Feb,18.08,18.27,0.0,52.62,17.13,2.25,113.7,43.44,10.12,92.38,47.53,11.14,0.0
Mar,7.11,12.42,8.38,19.46,15.29,0.0,12.13,22.39,23.78,5.71,14.14,7.22,0.0
Apr,3.7,7.25,0.0,6.63,11.2,0.0,39.27,18.21,1.09,25.21,27.25,4.98,0.0
May,11.4,14.31,22.47,6.77,12.23,0.0,10.67,4.52,7.1,0.0,2.82,17.45,0.0
Jun,54.03,67.91,30.39,52.51,65.21,43.49,15.35,30.57,22.5,15.9,38.83,31.01,9.5
Jul,145.54,196.12,338.05,166.75,216.45,330.9,121.98,211.53,235.31,121.49,309.98,226.4,234.0
Aug,200.2,240.68,200.17,232.83,217.09,202.87,117.37,232.8,190.44,125.06,325.98,188.55,228.0
Sep,119.67,134.12,40.46,98.98,94.98,61.82,49.8,195.21,96.32,52.73,327.12,89.98,166.0
Oct,5.99,18.12,0.19,4.74,26.37,4.98,31.01,35.9,39.01,25.29,58.84,36.75,5.0
Nov,0.37,4.71,0.0,0.24,4.51,0.0,1.08,10.89,14.36,1.71,18.0,25.63,0.0
Dec,0.75,5.95,0.98,0.08,4.95,0.0,1.25,23.75,4.57,1.72,0.85,14.83,0.0
