Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,14.43,11.08,17.34,17.55,12.65,26.66,16.13,21.95,23.28,16.54,20.24,16.43,16.3
Feb,10.21,13.06,0.23,14.99,10.53,0.62,0.0,3.76,9.12,0.0,0.0,10.65,10.7
Mar,7.98,11.99,0.0,8.0,11.4,15.17,20.16,0.0,6.39,16.04,0.0,11.01,1.0
Apr,5.69,7.9,0.0,2.54,5.42,0.0,0.58,3.6,5.51,1.58,2.35,0.0,21.5
May,8.8,12.08,1.58,8.4,11.56,0.0,0.0,6.74,0.0,6.49,1.67,10.43,21.5
Jun,37.72,40.45,60.91,38.19,47.28,59.7,24.52,1.71,18.67,23.99,0.0,58.2,65.8
Jul,108.51,126.57,37.43,98.52,124.49,50.96,44.93,80.02,62.51,45.12,32.1,55.68,122.5
Aug,106.44,134.73,96.04,113.84,120.21,101.25,46.6,79.48,81.38,53.91,79.5,91.68,80.7
Sep,66.67,64.98,73.48,79.82,68.34,72.22,23.82,0.0,79.29,23.43,0.0,70.52,210.8
Oct,0.83,4.03,0.06,0.61,2.01,0.0,0.0,0.0,0.0,0.0,0.0,7.45,9.0
Nov,0.1,4.06,0.23,0.41,4.24,0.0,1.65,2.53,0.0,1.58,3.34,8.95,0.7
Dec,4.91,4.52,0.0,4.24,4.35,1.39,2.33,0.0,0.0,2.19,0.0,5.02,52.7
