Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,1.78,6.12,2.95,0.15,3.39,0.0,0.58,7.66,0.0,0.0
Feb,5.67,12.2,0.0,20.7,15.82,19.94,13.63,13.63,10.72,16.9
Mar,40.15,20.75,20.9,57.92,40.43,39.31,13.5,40.44,20.2,86.9
Apr,118.74,118.8,98.83,110.17,178.28,164.95,106.13,96.32,180.51,86.0
May,205.95,294.89,166.95,263.92,269.09,228.81,218.07,237.96,245.44,165.8
Jun,398.23,213.91,217.38,183.03,256.79,286.91,196.17,262.3,294.34,254.0
Jul,298.69,192.4,185.03,324.0,244.16,240.6,280.68,278.29,246.42,126.0
Aug,268.4,169.06,183.2,199.68,200.88,248.04,184.22,171.3,254.02,261.6
Sep,215.12,133.97,126.21,210.6,214.78,172.18,207.3,194.56,179.24,204.9
Oct,107.92,123.24,35.45,1.69,35.31,58.96,44.22,165.63,61.97,46.8
Nov,5.22,18.33,0.0,11.97,3.96,7.47,0.68,4.49,2.72,23.7
Dec,0.68,3.9,0.0,1.4,5.08,2.9,4.56,14.41,3.82,22.7
