Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,0.0,17.12,12.03,3.05,1.22,0.0,0.89,1.16,0.25,16.4
Feb,0.0,17.2,0.0,0.0,0.0,0.0,0.45,0.46,1.29,0.1
Mar,13.01,2.95,0.0,0.0,3.86,0.0,0.11,3.44,0.29,0.0
Apr,13.87,0.0,0.0,1.7,5.53,12.06,0.0,0.0,8.45,0.0
May,71.7,7.1,19.56,30.62,47.79,53.83,27.68,48.48,53.96,14.4
Jun,31.11,48.24,8.86,24.28,68.91,38.89,76.02,66.67,65.06,67.8
Jul,73.67,25.28,42.04,77.66,78.34,56.98,86.27,76.61,60.76,98.8
Aug,71.89,90.65,57.02,153.4,126.29,95.8,124.92,78.44,108.7,228.6
Sep,85.92,100.23,50.8,130.7,131.41,106.45,130.83,133.97,113.74,98.7
Oct,202.63,224.1,90.23,83.95,140.96,112.97,144.91,94.94,125.93,287.6
Nov,266.59,276.32,75.08,304.23,352.23,306.48,215.03,462.81,313.69,335.7
Dec,66.18,178.06,23.43,107.0,189.09,190.87,107.19,179.63,194.62,49.3
