Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,0.47,9.07,0.0,5.47,0.0,15.0,9.1,0.0,8.08,0.0
Feb,1.15,0.0,0.0,0.0,19.52,12.99,11.45,12.51,0.0,0.0
Mar,1.49,0.0,0.0,0.25,5.67,14.77,2.74,5.46,9.1,0.4
Apr,36.36,16.19,12.6,87.16,34.22,30.35,47.82,57.63,23.91,97.9
May,18.07,32.73,0.78,165.78,67.36,65.07,41.09,102.36,65.41,81.2
Jun,190.79,108.05,87.89,0.0,144.2,122.77,170.72,173.94,137.18,144.7
Jul,271.09,274.85,93.53,261.96,316.69,311.75,263.5,359.73,328.54,417.4
Aug,311.24,243.52,102.16,261.4,260.82,237.55,261.38,256.87,248.62,374.2
Sep,243.71,218.08,58.39,238.75,251.57,233.84,238.98,235.75,242.41,336.5
Oct,181.69,98.37,49.13,92.75,133.73,147.09,108.01,146.73,153.48,307.5
Nov,4.24,38.92,7.99,20.44,26.57,22.63,21.0,9.56,23.47,0.0
Dec,0.34,6.64,15.6,0.0,7.87,22.77,1.06,24.1,17.21,57.6
