Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,12.63,16.77,9.73,1.81,2.77,17.95,6.13,10.52,7.59,4.2
Feb,6.62,6.03,0.0,2.91,14.89,11.67,1.29,16.76,13.84,0.0
Mar,1.66,0.0,7.28,0.33,0.0,6.09,2.18,0.0,0.0,0.0
Apr,0.79,1.67,1.99,0.0,7.92,18.13,3.33,6.51,17.16,2.4
May,1.45,4.88,21.24,15.3,26.24,3.94,12.8,26.21,14.26,10.6
Jun,34.07,45.01,12.48,20.16,49.36,14.38,29.65,47.78,32.8,22.3
Jul,155.37,167.12,116.9,217.99,159.09,114.1,105.95,140.49,132.32,154.7
Aug,303.91,282.58,82.62,95.52,125.06,111.16,119.98,162.32,110.83,159.0
Sep,180.35,171.93,59.32,68.49,72.98,65.62,85.51,129.97,64.91,82.1
Oct,15.72,23.07,29.84,0.0,15.86,10.9,0.0,29.51,34.55,0.0
Nov,0.1,5.97,0.0,10.5,6.85,17.41,7.51,7.13,2.85,0.0
Dec,0.07,7.1,9.67,4.32,7.08,17.8,14.29,13.84,0.4,0.0
