Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,5.1,13.11,0.0,2.9,7.64,0.52,2.49,4.99,9.65,2.69,5.42,5.52,9.3
Feb,18.6,29.78,0.0,1.93,7.53,3.52,0.64,0.0,7.26,0.0,0.0,7.74,11.8
Mar,83.98,95.04,103.16,69.44,14.9,109.52,58.92,0.0,97.42,70.44,0.0,6.5,52.7
Apr,201.54,209.52,145.85,185.65,131.0,145.81,175.26,113.35,126.02,174.42,129.7,136.57,56.4
May,127.68,337.15,0.0,156.46,172.79,0.0,156.71,149.86,93.42,154.35,146.6,98.14,79.3
Jun,281.89,409.9,0.0,344.48,323.9,0.0,202.45,244.37,288.05,199.31,244.38,265.65,211.2
Jul,353.38,465.89,0.0,396.75,555.64,0.0,246.22,279.19,218.93,245.61,330.0,221.98,156.3
Aug,218.9,366.71,0.0,218.08,395.29,0.0,241.11,207.94,161.68,206.67,169.32,159.83,177.7
Sep,250.99,287.42,0.0,273.45,249.62,0.0,248.52,226.09,144.52,239.93,261.36,142.56,118.1
Oct,131.6,179.75,102.59,128.0,94.23,103.43,105.13,95.99,109.33,94.63,89.48,100.56,20.6
Nov,14.73,36.59,2.64,12.77,24.86,0.84,85.15,71.05,12.91,64.34,99.47,11.24,1.4
Dec,4.17,8.29,0.0,0.0,1.96,1.88,0.65,5.2,4.39,0.51,5.0,1.57,41.0
