Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,2.67,7.45,0.0,4.01,6.19,0.0,6.78,5.92,0.94,6.8,5.6,4.48,6.6
Feb,46.19,36.45,20.14,45.56,28.55,37.45,77.38,97.28,0.0,75.94,87.12,18.45,17.9
Mar,75.02,33.3,201.83,100.12,47.11,150.07,181.22,1144.51,661.5,180.98,835.76,603.48,127.5
Apr,9.96,281.0,565.18,56.68,289.86,512.72,503.42,511.57,0.0,510.5,636.56,0.0,318.3
May,565.13,466.91,0.0,539.86,449.05,0.0,616.41,561.82,0.0,603.98,622.99,0.0,389.0
Jun,738.65,634.52,0.0,634.22,694.32,0.0,421.5,281.16,0.0,413.37,374.47,0.0,754.4
Jul,443.52,485.9,0.0,431.77,517.38,0.0,342.21,468.79,0.0,424.22,278.53,0.0,389.5
Aug,509.39,464.99,0.0,429.44,527.74,0.0,383.25,757.24,0.0,384.57,756.76,0.0,470.2
Sep,301.78,325.44,0.0,334.96,343.39,0.0,486.51,342.06,0.0,487.13,308.14,0.0,372.8
Oct,266.45,201.94,337.4,284.44,204.54,311.25,93.04,476.3,428.45,110.26,350.9,463.85,138.1
Nov,13.87,38.28,6.08,12.66,47.73,15.87,6.89,61.51,38.47,6.62,107.65,36.92,13.1
Dec,0.0,40.22,0.0,32.8,49.53,38.82,0.0,219.29,0.0,13.0,43.8,0.0,36.5
