Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,33.09,13.82,49.05,23.41,15.09,0.0,19.25,17.82,35.84,18.32,17.91,33.5,13.5
Feb,13.98,17.31,0.0,19.5,11.91,4.38,1.58,3.54,16.11,0.95,0.0,13.6,14.5
Mar,12.05,13.86,8.93,12.32,13.86,20.45,0.0,0.0,5.24,0.0,0.0,12.45,0.2
Apr,5.04,8.46,0.0,3.5,7.98,8.2,13.82,15.57,0.0,12.8,10.72,0.0,14.0
May,12.86,14.14,6.63,10.95,13.32,0.0,0.0,7.73,0.71,0.94,7.53,8.31,19.5
Jun,34.42,43.05,112.51,32.69,70.12,81.49,47.64,0.0,70.0,47.07,0.0,43.4,136.8
Jul,191.84,165.15,64.49,194.84,172.31,92.54,141.07,213.13,127.9,109.97,167.17,139.57,320.5
Aug,176.09,172.62,88.97,174.58,158.45,94.9,185.1,116.58,112.13,175.79,112.88,108.69,144.9
Sep,37.94,91.97,139.92,36.5,98.25,124.74,83.44,146.25,133.07,84.19,58.84,132.17,258.0
Oct,1.28,8.26,0.0,1.3,7.41,0.0,0.0,1.22,15.77,0.0,0.0,14.79,0.0
Nov,1.97,4.71,0.36,0.42,5.21,0.0,0.84,1.81,4.69,0.67,1.86,0.0,0.0
Dec,5.55,6.22,0.0,5.27,5.92,0.0,2.44,0.38,0.19,2.0,0.32,10.34,5.0
