Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,0.15,3.51,0.0,8.16,10.69,0.0,0.0,12.02,7.57,1.2
Feb,0.28,0.68,27.21,0.1,0.0,0.0,0.06,0.0,0.0,14.5
Mar,0.16,0.0,22.58,0.0,0.0,0.0,2.29,0.0,6.48,12.3
Apr,7.71,3.65,55.88,2.5,22.47,17.99,7.22,35.99,13.83,3.3
May,114.61,68.01,51.2,80.6,82.04,36.01,111.21,92.49,65.06,125.6
Jun,12.64,26.03,17.03,17.0,22.5,3.21,12.27,23.61,21.03,11.4
Jul,0.0,40.85,24.14,1.81,34.94,21.27,5.21,36.45,20.24,24.2
Aug,83.84,67.23,14.13,142.71,74.23,63.1,89.57,79.87,56.78,20.9
Sep,93.52,81.35,51.15,49.41,75.77,47.75,63.34,97.4,73.2,107.9
Oct,80.02,102.55,43.2,113.9,76.74,83.56,68.14,90.4,94.01,63.9
Nov,70.72,93.54,19.89,48.96,54.62,100.71,54.61,59.31,109.53,82.1
Dec,21.23,56.87,8.36,11.85,30.68,29.83,33.63,25.35,34.15,1.4
