Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,10.19,21.93,0.0,0.0,9.58,21.55,1.34,15.61,14.07,0.0
Feb,4.55,12.77,7.6,1.06,10.73,21.38,0.0,19.93,7.77,4.6
Mar,8.19,0.0,11.03,3.13,0.0,1.0,4.41,0.0,0.0,0.0
Apr,0.15,1.16,0.0,0.0,5.43,0.0,1.22,4.45,19.83,4.5
May,0.48,0.2,11.15,2.3,6.99,0.0,2.88,10.27,5.02,16.4
Jun,30.76,31.51,27.0,19.97,48.5,19.07,46.06,49.04,51.26,3.5
Jul,123.46,127.36,104.41,159.9,137.99,124.08,144.61,145.24,128.9,222.6
Aug,231.64,281.09,123.27,119.33,124.22,119.01,128.38,137.53,108.29,180.2
Sep,64.26,118.91,66.99,85.59,108.5,72.64,135.27,167.66,75.19,83.2
Oct,0.79,17.92,0.0,0.0,18.21,9.29,0.0,35.04,19.31,0.0
Nov,0.58,10.28,0.0,6.17,11.18,0.0,6.92,11.2,0.0,0.0
Dec,0.09,6.15,0.0,1.2,1.03,0.0,2.48,6.91,0.0,0.0
