Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,4.33,4.8,23.43,0.1,18.57,25.37,4.75,5.39,11.05,1.0
Feb,0.74,8.68,0.0,0.0,27.66,22.47,3.8,23.12,26.77,19.4
Mar,0.0,11.28,2.07,30.58,39.91,17.99,27.13,50.09,18.54,0.0
Apr,208.43,7.95,30.59,27.66,40.28,26.73,27.37,36.06,23.88,47.5
May,61.89,46.38,10.14,248.92,156.31,70.36,111.43,130.53,117.24,11.7
Jun,172.94,166.81,60.94,103.26,558.55,129.25,141.06,299.43,146.08,199.3
Jul,322.89,266.92,88.29,494.68,456.98,330.21,492.93,115.46,345.54,503.9
Aug,193.06,194.79,43.93,356.2,287.18,230.82,240.53,340.87,242.61,298.4
Sep,75.55,117.56,85.79,315.82,274.1,223.01,274.75,142.54,235.04,170.0
Oct,123.1,116.66,35.96,118.1,134.28,132.43,121.74,63.63,129.88,231.4
Nov,14.99,38.91,18.98,164.6,152.64,74.06,149.58,123.74,86.82,20.6
Dec,0.41,5.41,8.54,13.08,47.23,30.03,23.52,173.34,27.01,0.0
