Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,7.88,11.19,15.66,4.37,2.99,0.0,5.54,0.0,5.32,16.8
Feb,2.94,0.0,20.46,0.1,3.58,0.0,2.95,2.49,0.0,5.0
Mar,29.55,0.98,22.32,0.0,11.37,4.45,8.39,18.23,11.24,17.2
Apr,43.31,7.84,21.97,9.45,21.14,9.03,31.97,16.01,20.94,47.3
May,68.54,25.93,0.0,106.8,104.37,51.98,83.45,96.05,66.11,11.9
Jun,97.54,115.47,71.26,262.14,136.57,115.66,170.21,106.25,122.9,109.7
Jul,253.87,235.91,101.73,451.14,302.57,275.08,326.21,612.04,289.14,224.7
Aug,233.01,221.2,89.09,184.07,186.04,206.72,252.69,225.14,220.44,262.7
Sep,403.59,177.81,60.06,405.85,253.02,174.9,277.77,261.93,188.91,185.9
Oct,83.44,86.34,80.04,109.84,47.51,208.43,128.3,0.0,218.72,30.3
Nov,16.19,46.03,33.88,115.79,60.12,43.71,54.66,9.27,53.22,5.7
Dec,0.55,3.1,0.0,26.29,18.03,2.72,0.27,0.0,4.49,5.9
