Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,9.52,13.79,0.66,10.27,13.58,0.0,0.45,7.22,14.01,0.5,2.96,4.49,13.2
Feb,41.0,32.14,0.15,36.03,31.95,0.0,6.85,13.58,22.18,4.4,14.03,8.1,3.6
Mar,102.56,94.53,68.46,86.99,63.23,72.36,12.98,0.0,74.65,9.92,0.0,36.71,43.6
Apr,143.19,163.9,104.96,159.05,132.37,108.66,36.57,50.06,85.75,26.19,57.29,99.3,99.8
May,268.9,278.97,51.27,268.27,265.33,0.0,45.33,148.04,162.61,44.52,136.9,152.29,285.8
Jun,358.67,385.3,0.0,372.26,332.18,0.0,11.52,126.49,211.65,36.91,148.25,204.98,323.2
Jul,400.48,403.62,0.0,393.16,342.02,0.0,23.38,220.84,199.04,62.6,170.73,207.77,515.4
Aug,309.14,338.12,29328.35,325.1,312.0,0.0,298.47,333.96,0.0,306.7,368.44,0.0,311.0
Sep,224.21,251.31,301.4,234.07,254.42,304.68,190.57,284.64,327.9,165.07,420.61,337.55,115.5
Oct,120.85,161.46,138.94,119.14,130.57,140.04,98.07,89.13,139.43,130.99,42.12,141.7,71.7
Nov,17.36,39.8,0.44,23.02,41.63,10.34,1.22,21.98,18.09,1.23,41.67,14.99,3.7
Dec,7.07,10.42,0.0,6.74,10.76,8.83,0.0,0.0,27.07,0.0,0.0,0.0,49.6
