Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,25.02,16.75,0.0,11.77,6.66,2.01,10.01,9.27,10.59,13.2
Feb,37.62,34.26,15.21,6.7,13.98,18.51,16.22,14.84,12.53,3.6
Mar,88.57,126.21,14.69,32.38,37.92,22.84,27.73,42.77,32.55,43.6
Apr,163.3,223.05,31.77,39.08,75.19,70.52,82.93,156.2,65.38,99.8
May,547.21,379.59,52.62,116.96,137.26,128.4,125.31,136.25,129.68,285.8
Jun,584.65,564.78,100.83,169.8,202.36,196.22,212.45,225.27,196.31,323.2
Jul,539.9,459.55,88.01,295.44,302.57,293.48,293.21,327.78,296.09,515.4
Aug,363.01,413.27,73.96,173.2,281.81,290.55,263.05,321.61,289.92,311.0
Sep,225.7,294.51,65.19,187.4,201.49,206.22,203.26,260.87,207.71,115.5
Oct,178.14,192.52,29.45,144.46,113.65,102.56,103.29,151.71,106.31,71.7
Nov,25.37,44.4,23.57,48.69,19.78,18.04,3.0,36.73,17.08,3.7
Dec,3.09,11.87,5.19,2.7,7.1,8.07,2.53,3.83,7.78,49.6
