Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,2.9,6.0,12.81,3.03,4.07,10.46,2.27,7.27,9.96,0.0
Feb,2.55,7.91,23.55,13.08,12.09,0.0,25.55,32.67,4.54,11.5
Mar,17.59,32.44,0.0,97.8,46.35,36.01,72.34,18.83,29.13,50.6
Apr,107.87,119.82,65.65,205.29,194.16,187.94,143.6,242.76,191.42,300.8
May,260.44,347.48,127.51,384.6,430.04,388.11,444.52,554.77,401.27,427.5
Jun,377.32,525.88,169.58,569.83,591.91,631.56,444.88,0.0,652.32,589.7
Jul,613.54,388.34,178.48,298.81,446.58,491.66,547.44,431.44,506.72,698.4
Aug,244.61,330.18,144.03,140.1,227.99,560.21,527.54,677.58,581.73,498.7
Sep,232.45,330.79,102.16,619.7,513.61,396.24,533.33,526.14,409.26,683.5
Oct,108.55,143.6,47.34,97.03,52.01,114.34,100.62,341.68,124.02,61.6
Nov,6.47,10.31,0.0,0.0,6.15,3.33,0.49,12.24,5.69,8.4
Dec,0.52,2.53,0.78,11.83,3.03,6.3,0.0,8.79,3.31,3.3
