Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,3.88,10.5,3.93,10000.0,0.0,2.32,10000.0,1.34,0.0,
Feb,28.16,36.78,21.38,10000.0,1.67,2.66,10000.0,0.0,0.0,
Mar,57.39,60.3,48.46,3.1,9.26,1.17,7.78,14.73,11.56,
Apr,206.99,277.15,49.22,10000.0,414.38,188.61,10000.0,0.0,190.28,
May,287.59,306.25,134.08,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,
Jun,531.39,560.08,199.05,76.0,63.33,80.49,75.89,66.87,78.05,610.8
Jul,463.92,523.82,164.11,10000.0,225.62,199.62,10000.0,295.91,206.36,420.0
Aug,448.92,434.71,149.95,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,579.5
Sep,291.98,282.14,115.16,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,128.8
Oct,214.31,243.13,74.14,10000.0,0.0,95.05,10000.0,0.0,94.79,64.0
Nov,18.63,41.35,27.29,10000.0,47.31,25.23,10000.0,108.58,28.08,13.4
Dec,2.43,7.5,7.03,10000.0,0.61,4.46,10000.0,14.69,1.86,7.6
