Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,0.1,0.15,0.0,0.1,0.11,0.0,0.59,0.18,7.67,0.0
Feb,0.0,0.37,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0
Mar,9.81,3.61,0.0,1.06,4.57,9.18,0.0,11.01,11.23,2.9
Apr,8.15,12.54,0.0,17.81,17.51,0.0,29.15,26.42,15.1,7.0
May,10.03,12.05,43.16,57.4,51.18,25.95,43.26,50.32,25.25,38.9
Jun,628.12,619.79,158.2,204.85,255.61,228.82,327.0,299.0,238.69,355.9
Jul,760.4,945.53,148.34,679.97,596.92,600.83,703.61,789.72,605.63,787.5
Aug,291.78,574.68,104.84,403.5,295.36,283.04,306.27,343.56,285.94,486.5
Sep,136.9,196.55,45.68,191.81,146.62,191.45,184.19,138.27,191.98,101.3
Oct,23.89,43.31,49.57,71.5,92.24,84.73,54.77,90.89,94.11,33.4
Nov,26.67,31.57,9.6,29.6,12.18,15.84,5.91,0.0,25.19,16.4
Dec,0.69,7.24,0.0,0.1,7.98,0.0,1.31,8.34,9.91,5.0
