Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,0.1,1.15,0.0,0.1,1.17,12.33,0.43,1.77,8.68,0.3,1.77,2.03,0.0
Feb,0.1,0.58,0.0,0.1,0.5,0.0,0.1,0.77,3.34,0.11,0.9,0.0,2.9
Mar,9.81,8.22,0.0,6.44,7.03,14.94,10.66,6.23,10.47,8.68,2.37,10.23,14.0
Apr,33.29,38.75,0.0,31.85,42.85,27.08,33.71,30.57,21.43,32.37,30.9,19.69,9.5
May,62.08,67.31,28.32,64.46,52.96,49.01,56.03,56.41,37.73,56.12,58.32,34.27,99.7
Jun,101.79,96.73,111.11,101.92,101.52,111.84,122.18,98.38,131.01,117.98,98.72,113.27,85.9
Jul,95.18,112.67,32.02,97.54,97.83,56.05,144.01,52.03,57.44,75.65,39.02,59.02,20.5
Aug,76.73,107.54,95.55,83.97,112.34,99.16,186.45,115.49,103.06,184.18,119.56,102.38,55.9
Sep,121.35,113.86,188.45,137.71,122.5,182.63,65.09,40.92,112.97,63.96,45.7,101.17,55.4
Oct,145.38,123.99,134.59,138.74,125.44,132.8,95.05,75.63,85.64,94.21,51.51,82.83,54.2
Nov,12.22,40.28,0.7,9.58,39.42,0.0,0.0,2.3,3.13,0.0,0.0,13.99,0.2
Dec,0.64,6.21,0.0,0.73,6.96,2.65,0.01,3.8,4.42,0.26,4.71,1.31,0.0
