Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,0.45,4.21,0.0,0.1,6.2,18.17,1.94,8.82,13.39,0.0
Feb,0.22,6.79,3.79,0.0,38.35,9.01,0.0,40.41,2.65,0.3
Mar,1.32,5.54,7.49,5.63,5.73,9.88,0.26,32.18,7.48,4.5
Apr,14.05,23.02,13.39,20.0,27.03,18.72,23.8,29.48,20.63,3.6
May,115.61,86.8,29.2,89.86,225.93,104.09,134.81,286.84,90.4,37.5
Jun,78.74,100.26,45.35,148.1,181.31,137.9,129.21,160.55,160.93,156.0
Jul,119.51,144.02,69.88,217.7,169.59,161.51,177.76,189.93,166.65,210.1
Aug,170.56,176.76,65.14,296.1,217.79,186.82,177.07,197.6,180.47,321.6
Sep,199.79,194.47,62.19,222.15,183.9,164.86,149.44,167.38,167.51,57.1
Oct,140.61,139.14,46.21,176.68,137.61,147.79,129.14,133.13,146.85,30.7
Nov,66.37,103.17,29.22,112.18,115.33,102.54,70.03,88.44,113.44,28.2
Dec,4.67,19.07,17.71,37.24,143.48,74.08,38.86,123.06,65.86,101.4
