Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,109.66,52.05,108.45,105.78,68.46,100.28,167.04,53.99,127.52,162.69,53.32,129.73,12.4
Feb,25.26,59.16,43.01,40.53,94.94,54.3,164.57,149.15,85.12,176.25,98.08,81.19,56.8
Mar,17.0,67.28,68.76,25.41,93.38,48.52,52.71,79.03,99.78,53.08,107.52,101.36,67.5
Apr,34.51,62.63,14.27,115.34,85.73,62.38,110.28,93.2,96.49,106.97,91.76,95.07,91.9
May,46.23,40.8,5.7,64.51,55.59,64.32,67.48,45.17,73.4,67.18,39.32,63.76,43.3
Jun,82.95,112.79,106.2,81.39,120.0,114.0,46.61,42.04,96.98,46.52,33.92,88.55,100.1
Jul,196.99,240.02,180.06,194.29,219.08,180.43,176.62,171.39,203.58,191.47,170.83,203.92,204.9
Aug,246.11,230.95,88.4,238.96,190.34,105.8,282.81,247.97,126.49,273.73,195.09,142.7,194.4
Sep,119.37,140.61,73.15,102.97,119.65,92.88,65.17,105.38,89.68,55.53,117.53,92.87,273.8
Oct,5.75,16.8,0.0,3.95,12.15,0.0,1.62,15.73,0.0,1.87,16.14,2.25,10.7
Nov,2.12,11.44,0.0,11.49,13.39,16.27,0.0,18.28,6.41,0.0,13.1,4.02,88.0
Dec,11.14,22.93,0.0,0.0,32.38,0.0,0.0,31.08,27.11,0.0,31.31,24.39,10.9
