Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,38.07,56.24,0.0,21.9,30.22,31.9,21.21,14.57,57.59,12.4
Feb,50.77,81.85,12.33,74.2,116.33,83.04,77.75,125.33,82.39,56.8
Mar,73.49,62.13,0.0,86.52,84.03,51.37,61.76,93.54,65.2,67.5
Apr,51.7,52.88,21.68,30.85,89.67,5.71,63.41,92.66,33.2,91.9
May,45.27,45.57,0.0,47.0,63.77,6.84,45.35,61.3,38.69,43.3
Jun,105.76,54.9,46.31,138.51,99.24,60.85,147.1,96.92,75.85,100.1
Jul,96.92,187.86,71.81,186.0,203.7,168.67,206.75,194.92,175.72,204.9
Aug,179.98,183.75,76.93,295.98,209.67,188.29,217.83,140.35,190.99,194.4
Sep,134.38,112.87,50.95,139.46,136.56,108.69,194.99,206.87,108.24,273.8
Oct,15.75,12.19,4.5,20.74,13.16,4.26,15.62,4.24,7.11,10.7
Nov,56.38,13.36,2.0,27.77,39.59,4.64,30.69,72.73,18.07,88.0
Dec,7.26,19.19,8.03,44.8,36.92,20.93,14.98,57.52,31.45,10.9
