Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,17.52,19.11,0.0,15.65,13.96,8.23,5.58,20.51,8.47,4.4
Feb,9.21,12.03,8.43,5.73,6.85,3.95,3.98,6.77,3.66,13.4
Mar,6.05,1.39,0.0,4.0,8.83,16.44,1.46,8.61,6.47,2.0
Apr,3.51,3.92,0.0,0.0,11.31,0.57,15.97,12.75,0.0,16.5
May,2.55,7.07,0.0,6.0,4.2,15.68,0.0,3.39,10.84,15.6
Jun,28.8,31.2,38.05,35.92,53.01,25.91,30.02,52.07,31.51,73.5
Jul,126.81,139.22,44.39,67.27,108.37,94.53,89.64,123.83,95.96,236.7
Aug,162.59,164.14,49.98,127.85,115.98,108.35,91.93,173.67,105.22,140.9
Sep,251.23,162.23,15.5,27.99,124.07,96.14,86.87,140.17,107.45,190.0
Oct,10.82,12.21,21.23,0.19,5.94,0.0,0.0,12.14,0.0,3.2
Nov,1.54,5.9,3.82,0.0,4.7,0.0,0.0,3.16,15.83,0.3
Dec,8.33,10.61,13.17,15.3,3.96,11.49,15.21,11.62,10.89,15.3
