Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,7.67,12.5,1.83,8.02,12.42,0.0,6.83,9.79,3.15,6.79,10.08,4.98,0.0
Feb,3.77,10.3,0.21,6.88,10.29,0.36,0.49,1.37,9.52,0.43,0.25,1.93,0.3
Mar,5.74,8.0,0.7,4.79,6.76,11.22,7.54,0.0,7.81,0.0,0.0,10.29,1.9
Apr,11.68,13.19,0.69,7.92,12.53,12.74,11.72,9.46,0.0,4.47,2.85,3.91,8.1
May,28.24,26.98,0.0,14.63,27.92,19.24,0.0,11.58,12.92,0.0,11.61,11.34,9.1
Jun,73.85,127.93,38.06,85.36,133.47,46.46,45.78,69.29,28.98,46.53,63.87,44.94,9.5
Jul,345.76,307.33,0.0,340.25,293.78,0.0,162.02,252.33,267.75,165.73,340.66,206.24,99.5
Aug,145.6,243.04,0.0,145.13,216.47,0.0,113.24,113.16,95.27,98.93,99.28,96.99,82.6
Sep,190.65,174.18,29.28,145.8,156.64,47.14,135.2,148.87,50.78,133.18,131.09,74.58,17.0
Oct,50.81,51.0,0.29,44.85,42.94,0.0,4.78,43.11,28.19,4.46,0.0,5.15,0.0
Nov,0.44,5.0,0.2,0.35,5.47,2.08,0.1,0.38,6.09,0.53,0.64,0.0,0.0
Dec,0.29,3.15,0.26,0.24,3.1,0.96,0.0,0.0,10.82,0.0,0.0,0.0,0.0
