Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,13.84,18.28,18.9,7.64,0.0,1.63,5.24,0.0,0.0,0.0
Feb,2.28,8.33,16.79,8.23,0.0,0.0,4.96,0.0,14.7,0.0
Mar,3.14,0.0,0.0,30.68,0.0,17.59,21.36,0.0,5.92,0.0
Apr,20.41,22.83,0.0,47.33,36.44,15.94,43.98,43.59,21.94,16.4
May,26.37,31.63,0.0,51.1,99.16,28.63,19.51,118.48,58.69,10.0
Jun,158.89,195.31,53.66,114.1,129.74,104.52,118.42,133.84,103.72,141.4
Jul,211.15,279.09,86.79,276.4,355.4,238.53,289.36,404.03,251.04,395.0
Aug,243.3,298.82,121.79,372.54,249.3,223.12,208.99,267.2,229.01,238.1
Sep,197.27,208.5,65.0,148.2,170.21,166.83,145.81,100.83,170.84,169.6
Oct,60.18,67.33,15.14,27.44,0.0,72.66,17.86,9.06,74.45,5.3
Nov,8.23,8.98,0.0,0.0,5.39,11.62,0.0,13.72,8.54,0.0
Dec,0.0,6.3,5.83,0.0,4.91,10.86,0.6,45.12,0.0,3.4
