Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,22.39,20.1,10.56,16.63,24.76,35.04,9.37,26.8,35.14,27.4
Feb,51.93,44.45,9.5,44.1,63.62,58.61,43.72,48.69,45.66,44.8
Mar,199.72,86.4,5.49,151.84,135.14,106.67,170.61,98.0,114.52,201.7
Apr,361.25,206.56,65.9,321.08,314.16,320.84,267.94,550.88,343.26,221.6
May,320.87,222.87,52.09,380.22,396.8,333.46,395.72,571.48,344.54,244.1
Jun,451.64,293.87,92.89,423.9,414.82,378.58,416.08,428.05,382.96,301.9
Jul,332.73,369.45,127.11,642.1,543.93,473.04,544.0,558.95,474.94,322.3
Aug,621.54,297.24,103.22,357.41,480.61,451.92,505.87,549.39,460.7,240.6
Sep,171.17,262.72,86.85,543.1,474.3,385.75,305.47,436.91,393.7,323.6
Oct,147.96,115.13,52.49,12.7,136.38,128.82,146.19,226.24,140.31,96.9
Nov,13.32,24.19,0.0,19.47,50.63,41.34,18.07,127.9,44.26,35.9
Dec,12.72,28.33,0.0,8.55,39.18,29.45,7.55,18.47,40.25,34.0
