Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,8.46,19.03,5.27,0.0,7.13,10.61,8.13,15.02,9.17,1.7
Feb,4.3,9.34,19.51,12.12,17.84,18.52,10.78,17.84,14.79,0.6
Mar,0.9,0.12,0.0,10.4,5.95,0.0,14.79,5.53,17.92,0.0
Apr,2.15,3.38,0.0,0.45,12.29,0.0,5.18,10.82,22.48,9.0
May,2.55,7.31,12.46,18.1,19.67,0.0,19.63,19.29,23.91,4.9
Jun,38.23,51.14,31.78,65.56,78.19,32.44,77.01,81.22,41.1,66.2
Jul,159.44,185.14,95.19,288.1,224.1,184.11,204.41,224.76,197.47,338.9
Aug,314.4,302.6,98.13,199.8,195.62,173.48,212.74,188.96,171.38,405.5
Sep,207.15,199.79,51.84,105.17,111.64,88.2,78.12,130.56,98.89,157.1
Oct,10.59,43.04,16.8,8.15,46.42,28.22,9.75,81.57,44.88,0.2
Nov,0.73,4.8,0.0,11.72,10.27,0.0,8.33,10.25,9.62,0.0
Dec,1.99,9.05,4.3,3.51,4.5,13.63,4.77,19.93,5.56,0.0
