Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,3.02,7.83,0.0,0.0,0.0,0.6,0.0,3.98,0.0,2.0
Feb,8.02,13.04,0.0,18.36,0.0,8.27,0.0,0.0,15.91,0.5
Mar,42.77,26.16,0.0,72.03,0.0,16.26,31.13,76.28,26.28,2.0
Apr,57.61,76.0,41.71,65.77,77.37,94.35,68.43,0.0,104.12,3.5
May,237.13,264.49,101.26,159.27,132.4,130.84,157.35,258.1,138.9,227.6
Jun,604.19,594.44,168.46,380.88,470.68,454.6,515.19,470.65,457.17,322.0
Jul,562.72,611.71,195.5,336.9,439.38,420.52,323.45,327.79,428.88,727.0
Aug,478.36,478.92,166.87,353.9,418.62,527.0,353.06,401.68,535.15,930.5
Sep,215.47,270.64,85.18,73.3,495.88,431.27,445.36,522.38,440.71,312.0
Oct,111.58,270.51,47.76,163.16,0.0,135.46,114.59,218.14,138.27,290.5
Nov,26.78,52.46,28.88,26.86,0.0,21.5,0.0,0.0,20.58,4.0
Dec,5.07,9.94,3.9,1.79,12.79,2.0,0.0,12.07,10.26,2.0
